Temps (s),Temp 1 (°C),Temp 2 (°C),Temp 3 (°C)
263.0,49.66,43.32,39.91
264.0,49.79,43.32,40.02
265.0,49.66,43.32,40.02
266.0,49.66,43.32,40.02
267.0,49.66,43.43,40.02
268.0,49.79,43.43,40.02
269.0,49.79,43.43,40.12
270.0,49.92,43.43,40.12
271.0,49.92,43.55,40.12
272.0,50.05,43.55,40.12
273.0,49.92,43.55,40.12
274.0,50.05,43.55,40.23
275.0,49.92,43.66,40.23
276.0,49.79,43.66,40.23
277.0,50.05,43.66,40.23
278.0,49.92,43.66,40.23
279.0,49.92,43.66,40.34
280.0,49.92,43.66,40.34
281.0,49.92,43.66,40.34
282.0,49.92,43.77,40.34
283.0,49.92,43.77,40.34
284.0,49.92,43.77,40.45
285.0,49.92,43.89,40.45
286.0,50.05,43.77,40.55
287.0,50.18,43.77,40.55
288.0,50.05,43.89,40.55
289.0,50.05,43.89,40.55
290.0,50.18,43.89,40.55
291.0,50.18,43.89,40.55
292.0,50.18,43.89,40.66
293.0,50.18,44.0,40.66
294.0,50.18,43.89,40.77
295.0,50.18,43.89,40.66
296.0,50.18,44.0,40.77
297.0,50.32,44.0,40.88
298.0,50.18,44.0,40.77
299.0,50.18,43.89,40.88
300.0,50.18,44.0,41.09
301.0,50.18,44.0,40.99
302.0,50.32,44.0,40.99
303.0,50.32,44.12,40.99
304.0,50.45,44.12,40.99
305.0,50.32,44.12,41.09
306.0,50.32,44.24,41.2
307.0,50.32,44.24,41.09
308.0,50.45,44.12,40.99
309.0,50.45,44.12,40.99
310.0,50.45,44.24,41.09
311.0,50.45,44.24,40.99
312.0,50.72,44.24,40.99
313.0,50.59,44.24,40.99
314.0,50.72,44.24,40.99
315.0,50.72,44.35,40.99
316.0,50.72,44.35,41.09
317.0,50.85,44.35,41.09
318.0,50.72,44.35,41.2
319.0,50.59,44.47,41.2
320.0,50.72,44.47,41.09
321.0,50.85,44.35,41.09
322.0,50.72,44.47,41.2
323.0,50.72,44.47,41.31
324.0,50.59,44.47,41.31
325.0,50.59,44.47,41.31
326.0,50.85,44.47,41.42
327.0,50.72,44.47,41.31
328.0,50.85,44.47,41.31
329.0,50.85,44.47,41.2
330.0,50.99,44.47,41.2
331.0,51.13,44.47,41.2
332.0,51.13,44.47,41.31
333.0,51.13,44.59,41.31
334.0,51.26,44.59,41.31
335.0,51.13,44.47,41.31
336.0,51.13,44.59,41.31
337.0,51.26,44.59,41.31
338.0,51.26,44.59,41.42
339.0,51.26,44.59,41.42
340.0,51.26,44.59,41.42
341.0,51.26,44.7,41.53
342.0,51.26,44.7,41.53
343.0,51.13,44.7,41.64
344.0,51.13,44.7,41.64
345.0,51.13,44.7,41.64
346.0,51.13,44.82,41.64
347.0,51.26,44.82,41.64
348.0,51.26,44.82,41.64
349.0,51.26,44.82,41.53
350.0,51.13,44.94,41.64
351.0,51.13,44.94,41.64
352.0,50.99,44.94,41.53
353.0,51.13,44.94,41.53
354.0,51.13,45.06,41.53
355.0,51.13,45.06,41.64
356.0,51.26,45.06,41.64
357.0,51.4,44.94,41.64
358.0,51.4,44.94,41.75
359.0,51.26,44.94,41.75
360.0,51.26,45.06,41.75
361.0,51.26,45.06,41.64
362.0,51.4,45.06,41.75
363.0,51.4,45.06,41.75
364.0,51.4,45.06,41.75
365.0,51.4,45.06,41.75
366.0,51.26,45.06,41.64
367.0,51.26,45.17,41.75
368.0,51.26,45.17,41.75
369.0,51.26,45.17,41.75
370.0,51.4,45.06,41.75
371.0,51.4,45.17,41.64
372.0,51.4,45.17,41.75
373.0,51.4,45.06,41.75
374.0,51.54,45.06,41.75
375.0,51.54,45.06,41.75
376.0,51.67,45.06,41.64
377.0,51.67,45.06,41.75
378.0,51.67,45.06,41.75
379.0,51.81,45.17,41.86
380.0,51.95,45.17,41.86
381.0,51.95,45.17,41.86
382.0,51.95,45.29,41.86
383.0,51.95,45.29,41.86
384.0,51.81,45.29,41.86
385.0,51.95,45.41,41.86
386.0,51.95,45.41,41.86
387.0,52.09,45.53,41.97
388.0,52.09,45.53,41.97
389.0,52.09,45.41,41.97
390.0,52.09,45.53,42.08
391.0,52.09,45.53,42.08
392.0,52.09,45.53,42.19
393.0,51.95,45.53,42.19
394.0,51.81,45.53,42.19
395.0,51.95,45.53,42.19
396.0,52.09,45.41,42.3
397.0,52.09,45.53,42.3
398.0,51.95,45.53,42.42
399.0,51.95,45.53,42.42
400.0,51.95,45.53,42.53
401.0,51.95,45.53,42.42
402.0,51.95,45.53,42.42
403.0,51.95,45.53,42.42
404.0,51.95,45.53,42.42
405.0,52.09,45.53,42.42
406.0,52.09,45.53,42.53
407.0,52.09,45.65,42.42
408.0,52.23,45.65,42.53
409.0,52.23,45.53,42.53
410.0,52.23,45.65,42.64
411.0,52.09,45.65,42.53
412.0,52.09,45.65,42.53
413.0,52.09,45.65,42.64
414.0,52.09,45.65,42.64
415.0,52.09,45.65,42.75
416.0,51.95,45.65,42.64
417.0,51.95,45.77,42.64
418.0,51.95,45.77,42.75
419.0,51.95,45.77,42.64
420.0,51.95,45.77,42.86
421.0,51.81,45.77,42.86
422.0,51.67,45.77,42.75
423.0,51.95,45.77,42.86
424.0,51.67,45.77,42.75
425.0,51.95,45.89,42.75
426.0,51.81,45.77,42.86
427.0,51.67,45.65,42.75
428.0,51.81,45.77,42.75
429.0,51.95,45.65,42.75
430.0,51.67,45.65,42.75
431.0,51.95,45.77,42.75
432.0,51.95,45.65,42.75
433.0,51.95,45.65,42.75
434.0,51.95,45.77,42.75
435.0,52.09,45.65,42.75
436.0,51.95,45.77,42.75
437.0,52.09,45.77,42.75
438.0,52.09,45.77,42.75
439.0,51.95,45.77,42.75
440.0,52.09,45.77,42.75
441.0,52.09,45.77,42.75
442.0,52.09,45.89,42.75
443.0,52.09,45.89,42.75
444.0,52.37,45.89,42.75
445.0,52.23,45.89,42.75
446.0,52.37,45.89,42.64
447.0,52.23,46.01,42.64
448.0,52.09,45.89,42.64
449.0,52.09,45.89,42.53
